network,week,n,t,pct,rm,date
CNN,2019.481,133,455,0.2923076923076923,0.23465253392124408,2019-06-18
Fox News,2019.481,11,38,0.2894736842105263,0.24706881124215224,2019-06-18
CNN,2019.5,79,497,0.158953722334004,0.217947469242784,2019-06-25
Fox News,2019.5,10,39,0.2564102564102564,0.22206881124215225,2019-06-25
CNN,2019.519,85,489,0.1738241308793456,0.22803484636870067,2019-07-02
Fox News,2019.519,5,23,0.21739130434782608,0.21548986387373117,2019-07-02
CNN,2019.538,131,531,0.24670433145009416,0.23303325789046284,2019-07-09
Fox News,2019.538,4,32,0.125,0.22777618866005597,2019-07-09
CNN,2019.558,164,493,0.332657200811359,0.23192416394613663,2019-07-16
Fox News,2019.558,10,38,0.2631578947368421,0.22987997547632527,2019-07-16
CNN,2019.577,85,475,0.17894736842105263,0.24484120947420984,2019-07-23
Fox News,2019.577,11,36,0.3055555555555556,0.26593766778401756,2019-07-23
CNN,2019.596,83,490,0.16938775510204082,0.21836049641181002,2019-07-30
Fox News,2019.596,7,31,0.22580645161290322,0.2418148607664737,2019-07-30
CNN,2019.615,165,553,0.298372513562387,0.25601536805419284,2019-08-06
Fox News,2019.615,7,26,0.2692307692307692,0.24578311473472766,2019-08-06
CNN,2019.635,134,591,0.22673434856175972,0.2513802936854623,2019-08-13
Fox News,2019.635,4,24,0.16666666666666666,0.2476648351648352,2019-08-13
CNN,2019.654,175,531,0.3295668549905838,0.2147452804781116,2019-08-20
Fox News,2019.654,9,28,0.32142857142857145,0.25178571428571433,2019-08-20
CNN,2019.673,89,590,0.15084745762711865,0.21014502667100501,2019-08-27
Fox News,2019.673,7,30,0.23333333333333334,0.2910014005602241,2019-08-27
CNN,2019.692,87,573,0.1518324607329843,0.19214725231729846,2019-09-03
Fox News,2019.692,6,21,0.2857142857142857,0.23091452797335155,2019-09-03
CNN,2019.712,120,576,0.20833333333333334,0.2390259051518981,2019-09-10
Fox News,2019.712,11,34,0.3235294117647059,0.26468645779791294,2019-09-10
CNN,2019.731,136,528,0.25757575757575757,0.27663896747304567,2019-09-17
Fox News,2019.731,3,37,0.08108108108108109,0.27450788636934154,2019-09-17
CNN,2019.75,157,464,0.33836206896551724,0.2831270627111409,2019-09-24
Fox News,2019.75,14,38,0.3684210526315789,0.2539703610143719,2019-09-24
CNN,2019.769,172,569,0.3022847100175747,0.28111586252920906,2019-10-01
Fox News,2019.769,13,40,0.325,0.3031445351885461,2019-10-01
CNN,2019.788,123,525,0.2342857142857143,0.25317815194063636,2019-10-08
Fox News,2019.788,7,29,0.2413793103448276,0.29927456614829845,2019-10-08
CNN,2019.808,133,533,0.24953095684803,0.22679396630616142,2019-10-15
Fox News,2019.808,10,36,0.2777777777777778,0.2559033540270863,2019-10-15
CNN,2019.827,109,481,0.22661122661122662,0.2096898423599322,2019-10-22
Fox News,2019.827,12,34,0.35294117647058826,0.22586155674390973,2019-10-22
CNN,2019.846,121,615,0.1967479674796748,0.20663681329285224,2019-10-29
Fox News,2019.846,5,33,0.15151515151515152,0.21197266785502084,2019-10-29
CNN,2019.865,104,627,0.16586921850079744,0.19197619414004558,2019-11-05
Fox News,2019.865,4,33,0.12121212121212122,0.16219891219891225,2019-11-05
CNN,2019.885,131,552,0.23731884057971014,0.20142556590649052,2019-11-12
Fox News,2019.885,8,36,0.2222222222222222,0.17695170326749277,2019-11-12
CNN,2019.904,86,512,0.16796875,0.2133055416160192,2019-11-19
Fox News,2019.904,2,13,0.15384615384615385,0.23755776387355337,2019-11-19
CNN,2019.923,129,550,0.23454545454545456,0.21096507878291962,2019-11-26
Fox News,2019.923,4,19,0.21052631578947367,0.24450220831799782,2019-11-26
CNN,2019.942,102,478,0.21338912133891214,0.23509258240261074,2019-12-03
Fox News,2019.942,8,22,0.36363636363636365,0.28242955874534825,2019-12-03
CNN,2019.962,106,465,0.22795698924731184,0.21855466436210202,2019-12-10
Fox News,2019.962,8,32,0.25,0.3012265512265513,2019-12-10
CNN,2019.981,137,518,0.2644787644787645,0.1991169584954591,2019-12-17
Fox News,2019.981,11,36,0.3055555555555556,0.2792829775588397,2019-12-17
CNN,2020,65,386,0.16839378238341968,0.18091473516106413,2019-12-24
Fox News,2020,4,14,0.2857142857142857,0.27447528525114734,2019-12-24
CNN,2020.019,51,376,0.1356382978723404,0.16920091854070546,2019-12-31
Fox News,2020.019,8,29,0.27586206896551724,0.23280861858448068,2019-12-31
CNN,2020.038,110,709,0.15514809590973203,0.21054841889079648,2020-01-08
Fox News,2020.038,9,39,0.23076923076923078,0.2339606923171996,2020-01-08
CNN,2020.058,163,749,0.21762349799732977,0.2272853961468493,2020-01-15
Fox News,2020.058,5,36,0.1388888888888889,0.2274951750758203,2020-01-15
CNN,2020.077,247,740,0.33378378378378376,0.2435335009750369,2020-01-22
Fox News,2020.077,9,31,0.2903225806451613,0.27274404385410084,2020-01-22
CNN,2020.096,141,696,0.2025862068965517,0.24087115853419716,2020-01-29
Fox News,2020.096,8,32,0.25,0.29723234794766806,2020-01-29
CNN,2020.115,188,854,0.22014051522248243,0.20532618137188954,2020-02-05
Fox News,2020.115,14,34,0.4117647058823529,0.2763758407174122,2020-02-05
CNN,2020.135,184,889,0.20697412823397077,0.1736796296477516,2020-02-12
Fox News,2020.135,9,38,0.23684210526315788,0.2517546285962001,2020-02-12
CNN,2020.154,178,929,0.1916038751345533,0.13717426997943355,2020-02-19
Fox News,2020.154,6,29,0.20689655172413793,0.17765960597176572,2020-02-19
CNN,2020.173,57,750,0.076,0.1293939925141167,2020-02-26
Fox News,2020.173,5,33,0.15151515151515152,0.21522327320436335,2020-02-26
CNN,2020.192,61,823,0.07411907654921021,0.11126346849374956,2020-03-04
Fox News,2020.192,3,26,0.11538461538461539,0.20137792315211675,2020-03-04
CNN,2020.212,134,762,0.17585301837270342,0.12179757831072127,2020-03-11
Fox News,2020.212,12,31,0.3870967741935484,0.19127691305110664,2020-03-11
CNN,2020.231,83,697,0.11908177905308465,0.12237608942819579,2020-03-18
Fox News,2020.231,5,33,0.15151515151515152,0.1981450449192385,2020-03-18
CNN,2020.25,71,601,0.11813643926788686,0.11471047548837747,2020-03-25
Fox News,2020.25,2,18,0.1111111111111111,0.13708513708513712,2020-03-25
